what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366019372388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366019373287
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.format",1366019373686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366019374029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019377266
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1366019378687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019378714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366019381017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019381749
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366019382833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019382864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019385076
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1366019385160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019385194
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366019392753
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1366019392850
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366019395525
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1366019395568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019412431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019501181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019502464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019660008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019660087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019664700
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366019666509
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1366019666512
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366019667516
error,log,,,"Error logged from Debug Core: ",1366019667762
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366019668164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019669916
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1366019669979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019670017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366019673677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366020289388
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366020293282
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366020299490
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1366020310209
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366020328935
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1366020332465
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1366020362441
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1366020362750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366020363125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366020366693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366020380683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366020383350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366020387879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366020392798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366020394285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366020394931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366024668911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366025495158
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366025498909
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366025509789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366025531863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366025541533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366025547881
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1366025549888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366025551235
started,bundle,org.eclipse.rse.services,3.2.101.R33x_v201109141647,"org.eclipse.rse.services",1366025554254
error,log,,,"Unexpected Exception",1366025554750
started,bundle,org.eclipse.rse.core,3.2.2.R33x_v201110030150,"org.eclipse.rse.core",1366025554886
error,log,,,"Unexpected Exception",1366025556149
error,log,,,"Unexpected Exception",1366025556155
started,bundle,org.eclipse.rse.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.ui",1366025556591
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.101.R33x_v201107181530,"org.eclipse.rse.subsystems.files.core",1366025556691
started,bundle,org.eclipse.rse.files.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.files.ui",1366025556720
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.200.v201101042155,"org.eclipse.rse.subsystems.files.local",1366025556725
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.201.R33x_v201106281309,"org.eclipse.rse.subsystems.shells.core",1366025557093
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.300.v201101042155,"org.eclipse.rse.subsystems.shells.local",1366025557129
started,bundle,org.eclipse.rse.connectorservice.local,2.1.300.v201101042155,"org.eclipse.rse.connectorservice.local",1366025557362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366025557420
started,bundle,org.eclipse.rse.services.local,2.1.300.v201105311250,"org.eclipse.rse.services.local",1366025557427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366025558557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366025571098
error,log,,,"Problems encountered during text search.",1366025572781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366025572981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366025574437
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366025584074
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366025606034
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1366025608539
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1366025611324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366025612910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366025613864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1366025619437
