what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143873181
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365143873966
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365143873991
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1365143874016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143877659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1365143897505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1365143897505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143897531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143903372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143915492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1365143916917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143919206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1365143935341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1365143935341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143935369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143938325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143941348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143942700
error,log,,,"Could not write: /opt/workspace2/kf1304/kf1304_master/.metadata/.mylyn/repositories.xml.zip",1365143949782
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1365143954426
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1365143954446
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.4.1,"org.tigris.subversion.clientadapter.javahl",1365143954466
error,log,,,"Could not save master table to file '/opt/workspace2/kf1304/kf1304_master/.metadata/.plugins/org.eclipse.core.resources/.safetable/org.eclipse.core.resources'.",1365143960346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1365143960415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1365143960415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143960432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143960537
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1365143960748
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1365143960812
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1365143960964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143969144
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365143973758
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365143973899
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1365143974841
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1365143975822
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365143976382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143976473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365143979983
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1365143989245
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365143991636
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365143996942
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365144003812
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365144003823
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1365144003868
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365144008991
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365144009361
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365144009455
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1365144010068
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1365144017824
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1365144028080
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365144031778
